State,Refiner,Location,Atmospheric_Crude_Oil_Distillation_Capacity_Barrels_per_Calendar_Day_Operating,Atmospheric_Crude_Oil_Distillation_Capacity_Barrels_per_Calendar_Day_Idle,Atmospheric_Crude_Oil_Distillation_Capacity_Barrels_per_Stream_Day_Operating,Atmospheric_Crude_Oil_Distillation_Capacity_Barrels_per_Stream_Day_Idle,Downstream_Charge_Capacity_Vacuum_Distillation,Downstream_Charge_Capacity_Thermal_Cracking_Delayed_Coking,Downstream_Charge_Capacity_Thermal_Cracking_Fluid_Coking,Downstream_Charge_Capacity_Thermal_Cracking_Visbreaking,Downstream_Charge_Capacity_Other_Gas_Oil,Catalytic_Cracking_Charge_Capacity_Fresh_Feed,Catalytic_Cracking_Charge_Capacity_Recycled_Feed,Catalytic_Cracking_Charge_Capacity_Distillate,Catalytic_Cracking_Charge_Capacity_Gas_Oil,Catalytic_Cracking_Charge_Capacity_Residual,Hydrocracking_Charge_Capacity_Low_Pressure,Hydrocracking_Charge_Capacity_High_Pressure,Fuels_Solvent_Deasphalting_Capacity,Desulfurization_Capacity_Naphtha_Reformer_Feed,Desulfurization_Capacity_Gasoline,Desulfurization_Capacity_Kerosene_Jet_Fuel,Desulfurization_Capacity_Diesel_Fuel,Desulfurization_Capacity_Other_Distillate,Desulfurization_Capacity_Residual,Desulfurization_Capacity_Heavy_Gas_Oil,Desulfurization_Capacity_Other
Pennsylvania,United Refining Co,Warren,67000,0,70000,0,40000,0,0,0,0,25000,1000,0,0,0,0,14000,0,26000,5000,5000,17000,0,0,0,0
Tennessee,Valero Ref Company Tennessee LLC,Memphis,180000,0,205000,0,0,0,0,0,0,70000,0,26500,0,0,36000,0,0,55000,39000,0,38000,0,0,0,0
Texas,Alon USA Energy Inc,Big Spring,73000,0,74000,0,28000,0,0,0,0,23500,0,0,0,0,21500,0,10000,25500,0,5000,24000,0,0,6300,0
Texas,Buckeye Texas Processing LLC,Corpus Christi,60000,0,65000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Citgo Refining & Chemical Inc,Corpus Christi,165000,0,175500,0,85300,45100,0,0,0,70700,0,0,0,0,51500,0,0,52800,47080,0,102267,0,0,70900,0
Texas,Deer Park Refining LP,Deer Park,312500,0,340000,0,180000,96000,0,0,0,75100,5000,0,62000,0,44000,24500,0,80000,46600,40000,50000,0,0,45000,63000
Texas,Delek Refining LTD,Tyler,74000,0,77500,0,28000,7500,0,0,0,20250,0,0,0,0,17500,0,0,28000,13000,0,36000,0,0,0,0
Texas,Diamond Shamrock Refining Co LP,Sunray,195000,0,204000,0,50000,0,0,0,0,56000,0,0,27000,0,29000,18000,13500,44400,39600,0,48000,0,0,0,0
Texas,Diamond Shamrock Refining Co LP,Three Rivers,89000,0,100000,0,33500,0,0,0,0,23840,0,0,28000,0,23500,10000,0,35000,0,0,28000,0,0,20000,0
Texas,Enterprise Prod Texas Operating LLC,Mont Belvieu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65000
Texas,Equistar Chemicals LP,Channelview,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Texas,ExxonMobil Refining & Supply Co,Baytown,564440,0,588000,0,297000,54000,42000,0,0,220000,8000,30600,0,0,126500,0,47000,158000,212100,134400,160000,0,0,117000,50300
Texas,ExxonMobil Refining & Supply Co,Beaumont,612000,0,637400,0,180000,47000,0,0,0,115000,0,70000,0,0,146000,0,0,173700,69700,121000,97000,0,0,0,23300
Texas,Flint Hills Resources LP,Corpus Christi East,87500,0,90000,0,0,0,0,0,0,49100,0,0,0,0,0,0,0,33000,0,0,0,0,0,0,0
Texas,Flint Hills Resources LP,Corpus Christi West,268500,0,275000,0,87500,0,0,0,0,58100,0,0,15500,0,0,0,0,60000,72000,32000,91000,0,0,0,0
Texas,Hartree Refining LLC,Channelview,45000,0,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Houston Refining LP,Houston,263776,0,289000,0,196500,100500,0,0,0,110000,0,0,0,0,0,0,0,61000,89000,41000,92600,0,0,117000,0
Texas,Kinder Morgan Crude & Condensate,Galena Park,105000,0,121000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Lazarus Energy LLC,Nixon,14000,0,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Magellan Processing LP,Corpus Christi,50000,0,55000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Marathon Petroleum Co LP,Galveston Bay,631000,0,665000,0,259500,32500,0,0,0,219500,0,79500,0,84500,147000,0,20000,129000,57000,76000,60000,0,0,108500,0
Texas,Motiva Enterprises LLC,Port Arthur,640500,0,659700,0,331800,178000,0,0,0,92600,0,0,115500,0,134500,0,0,186500,55000,79000,182000,0,0,65000,21000
Texas,Pasadena Performance Products LLC,Pasadena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Pasadena Refining Systems Inc,Pasadena,118750,0,125000,0,38000,0,0,0,0,0,0,0,0,0,24000,0,0,24000,0,12400,0,0,0,0,0
Texas,Petromax Refining Co LLC,Houston,25000,0,27500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Phillips 66 Company,Sweeny,264500,0,293532,0,132066,78732,0,0,0,116005,0,0,0,0,46176,0,0,70590,60000,0,124107,0,0,107751,16000
Texas,Premcor Refining Group Inc,Port Arthur,380000,0,424000,0,220000,158000,0,0,0,75000,0,0,134800,0,58000,0,0,58000,90000,33000,104600,0,0,60000,0
Texas,Targa Downstream LLC,Mont Belvieu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45000
Texas,Texas International Terminals,Galveston,45000,0,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Texas,The San Antonio Refinery LLC,San Antonio,20000,0,21000,0,0,0,0,0,0,0,0,0,0,0,0,6000,0,7000,0,0,8000,0,0,0,0
Texas,TotalEnergies Petrochem & Refg USA,Port Arthur,238000,0,245000,0,117000,60000,0,0,0,80000,0,0,0,0,43000,0,15500,57500,51600,31000,80000,0,0,54400,0
Texas,Trecora Hydrocarbons LLC,Silsbee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5200,0,0,11000,0,0,0,0,0,0,4000
Texas,Valero Refining Co Texas LP,Corpus Christi,290000,0,301000,0,91000,19000,0,0,0,95500,0,0,51000,0,39000,11000,0,57000,54500,10000,72000,0,75000,25000,0
Texas,Valero Refining Co Texas LP,Houston,205000,0,218700,0,38000,0,0,0,0,75200,0,75000,0,0,0,0,18000,9000,38240,18000,0,0,0,0,0
Texas,Valero Refining Co Texas LP,Texas City,225000,0,227400,0,133500,53500,0,0,0,86000,0,0,0,0,18100,0,33500,25000,61500,28000,55000,0,0,110000,6500
Texas,WRB Refining LP,Borger,149000,0,159688,0,82027,28680,0,0,0,61226,0,0,0,0,0,31622,0,67789,0,15173,28646,0,0,78334,0
Texas,Western Refining Company LP,El Paso,133000,0,140000,0,55500,0,0,0,0,35000,0,0,0,0,31000,0,0,34000,38500,9500,49000,0,0,0,0
Utah,Big West Oil Co,North Salt Lake,31664,0,36000,0,0,0,0,0,0,12500,0,0,0,0,0,9000,0,11800,0,0,13000,0,0,0,0
Utah,Chevron USA Inc,Salt Lake City,54720,0,57600,0,27900,10000,0,0,0,15500,0,0,0,0,0,9100,0,9100,0,0,13300,20700,0,0,7200
