Code,Commodity,All Traffic Directions CY2023,All Traffic Directions CY2022,All Traffic Directions CY2021,All Traffic Directions CY2020,All Traffic Directions CY2019,Intraport CY2023,Intraport CY2022,Intraport CY2021,Intraport CY2020,Intraport CY2019,Receipts CY2023,Receipts CY2022,Receipts CY2021,Receipts CY2020,Receipts CY2019,Shipments CY2023,Shipments CY2022,Shipments CY2021,Shipments CY2020,Shipments CY2019
4680,Non-Ferrous Scrap,181179,331774,668957,383544,245402,0,0,0,0,0,3300,4339,3393,10237,9276,177879,327435,665564,373307,236126
4690,Non-Ferrous Ores NEC,86249,3216,4027,33923,13181,0,0,0,0,0,660,529,1218,21135,4601,85589,2687,2809,12788,8580
4741,Sulphur; (Dry),535657,446785,434518,534661,652198,0,0,0,0,0,176,0,0,79,1247,535481,446785,434518,534582,650951
4782,Clay & Refrac. Mat.,17564,27823,21844,25714,25248,0,0,0,0,0,6905,9166,9553,9951,9401,10659,18657,12291,15763,15847
4783,Salt,68818,126638,106253,85194,143677,0,0,0,0,0,67093,124210,104058,81000,140849,1725,2428,2195,4194,2828
4860,Slag,134388,110397,131590,157528,66412,0,0,0,0,0,133793,109732,130914,156319,66054,595,665,676,1209,358
4900,Non-Metal. Min. NEC,35011,19153,32946,57559,58451,0,0,0,0,0,10833,6238,13177,43540,30401,24178,12915,19769,14019,28050
5110,Newsprint,730,3571,3993,1850,4583,0,0,0,0,0,730,3508,3304,1531,3122,0,63,689,319,1461
5120,Paper & Paperboard,264413,395900,346861,365587,393533,0,0,0,0,0,209566,345783,278201,288906,283841,54847,50117,68660,76681,109692
5190,Paper Products NEC,384037,388094,347915,322651,381561,0,0,0,0,0,372646,376759,335344,298505,323804,11391,11335,12571,24146,57757
5210,Lime,52,193,132,36,702,0,0,0,0,0,14,193,127,5,30,38,0,5,31,672
5220,Cement & Concrete,214707,408295,343946,224646,189880,0,0,0,0,0,213584,406990,343513,222218,187992,1123,1305,433,2428,1888
5240,Glass & Glass Prod.,366794,428177,462578,429925,322123,0,0,0,0,0,361957,412736,446744,407461,299547,4837,15441,15834,22464,22576
5290,Misc. Mineral Prod.,559226,1334657,1551613,1323172,936689,0,0,0,0,0,550061,1311998,1530524,1299234,915257,9165,22659,21089,23938,21432
5312,Pig Iron,25599,34612,39812,25688,18605,0,0,0,0,0,23873,33780,38618,23093,17071,1726,832,1194,2595,1534
5315,Ferro Alloys,1315,9243,6594,13121,10270,0,0,0,0,0,1090,8215,6487,11136,8814,225,1028,107,1985,1456
5320,I&S Primary Forms,12896,7417,4068,4284,43735,0,0,0,0,0,12845,7115,3654,3563,37849,51,302,414,721,5886
5330,I&S Plates & Sheets,233559,273957,292202,175701,161652,0,0,0,0,0,230823,270819,287870,168104,157800,2736,3138,4332,7597,3852
5360,I&S Bars & Shapes,40935,52184,47287,40613,135039,0,0,0,0,0,24084,36112,34209,29721,119492,16851,16072,13078,10892,15547
5370,I&S Pipe & Tube,193058,236782,189611,199272,218621,0,0,0,0,0,165241,189366,185213,191205,209049,27817,47416,4398,8067,9572
5390,Primary I&S NEC,43204,43884,35621,67906,64381,0,0,0,0,0,42783,43713,35201,61730,57459,421,171,420,6176,6922
5421,Copper,93861,65962,72910,64423,39563,0,0,0,0,0,38400,46177,46157,51201,30616,55461,19785,26753,13222,8947
5422,Aluminum,330754,428930,362381,237001,338350,0,0,0,0,0,256170,370818,323565,215878,314074,74584,58112,38816,21123,24276
5429,Smelted Prod. NEC,26588,26248,16116,299828,638896,0,0,0,0,0,25008,21742,12902,34439,20310,1580,4506,3214,265389,618586
5480,Fab. Metal Products,1900913,2070272,2193636,1897184,1853459,0,0,0,0,0,1837061,2021899,2106266,1786247,1691076,63852,48373,87370,110937,162383
5540,Primary Wood Prod.,106378,276350,331523,301436,231862,0,0,0,0,0,105258,275188,324403,299443,225214,1120,1162,7120,1993,6648
6134,Fish (Not Shellfish),80570,108498,110968,113813,104564,0,0,0,0,0,79051,103817,107536,109906,100361,1519,4681,3432,3907,4203
6136,Shellfish,59668,109834,114117,90350,97254,0,0,0,0,0,47999,101465,108511,87385,92315,11669,8369,5606,2965,4939
6241,Wheat,3338,45987,862,1521,14996,0,0,0,0,0,386,534,136,27,1881,2952,45453,726,1494,13115
6344,Corn,236426,239811,308962,268692,279932,0,0,0,0,0,2694,3612,3509,2527,1303,233732,236199,305453,266165,278629
6442,Rice,240999,223499,164586,174645,157642,0,0,0,0,0,145770,196579,152785,167755,144899,95229,26920,11801,6890,12743
6443,Barley & Rye,106,167,547,230,123,0,0,0,0,0,106,141,25,58,79,0,26,522,172,44
6445,Oats,112,1896,1225,267,70,0,0,0,0,0,74,364,563,261,53,38,1532,662,6,17
6447,Sorghum Grains,40125,13660,20633,8095,2038,0,0,0,0,0,67,44,0,47,82,40058,13616,20633,8048,1956
6521,Peanuts,3215,2019,2762,14127,5235,0,0,0,0,0,130,433,520,378,595,3085,1586,2242,13749,4640
6522,Soybeans,765526,899059,827408,923488,748529,0,0,0,0,0,5190,1386,879,821,9449,760336,897673,826529,922667,739080
6534,Flaxseed,55,1884,5436,2685,347,0,0,0,0,0,46,133,154,233,279,9,1751,5282,2452,68
6590,Oilseeds NEC,100532,20957,29218,74738,106581,0,0,0,0,0,2495,11299,13995,12607,9947,98037,9658,15223,62131,96634
6653,Vegetable Oils,53892,130605,143172,135675,99975,0,0,0,0,0,46851,118519,133655,129057,93762,7041,12086,9517,6618,6213
6654,Vegetables & Prod.,370608,553686,526633,523886,554022,0,0,0,0,0,261292,403057,387475,367428,290240,109316,150629,139158,156458,263782
6746,Wheat Flour,11763,15303,11828,13321,13493,0,0,0,0,0,8911,14323,11100,11883,11614,2852,980,728,1438,1879
6747,Grain Mill Products,144660,271240,238042,331324,244394,0,0,0,0,0,76475,136730,120287,126571,71452,68185,134510,117755,204753,172942
6781,Hay & Fodder,538754,591289,664002,684505,610218,0,0,0,0,0,4832,5268,3490,3562,1714,533922,586021,660512,680943,608504
6782,Animal Feed; Prep.,1382859,1506381,1284479,1277853,1017429,0,0,0,0,0,69109,109749,102752,86334,51490,1313750,1396632,1181727,1191519,965939
6811,Meat; Fresh; Frozen,495484,569940,575155,751155,633926,0,0,0,0,0,55220,124323,122190,133894,143018,440264,445617,452965,617261,490908
6817,Meat; Prepared,11272,21859,23026,25764,26026,0,0,0,0,0,2916,11754,9772,15117,7713,8356,10105,13254,10647,18313
6822,Dairy Products,209370,254970,250164,241498,167161,0,0,0,0,0,35927,51659,55098,37270,31627,173443,203311,195066,204228,135534
6835,Fish; Prepared,52308,99279,90452,94958,71580,0,0,0,0,0,50917,91762,88707,92920,68718,1391,7517,1745,2038,2862
6838,Tallow; Animal Oils,1915,5409,22470,4308,1674,0,0,0,0,0,1594,3291,3088,2481,1210,321,2118,19382,1827,464
6839,Animals & Prod. NEC,261990,314198,319200,267034,239843,0,0,0,0,0,12134,15486,15830,17030,15146,249856,298712,303370,250004,224697
6856,Bananas & Plantains,4113,7769,15400,9886,10880,0,0,0,0,0,4001,7531,14282,9047,8582,112,238,1118,839,2298
6857,Fruit & Nuts NEC,403056,575057,574304,681309,746023,0,0,0,0,0,120076,186921,254118,333090,334699,282980,388136,320186,348219,411324
6858,Fruit Juices,228106,373168,395191,303952,295168,0,0,0,0,0,185585,326148,356084,266467,241129,42521,47020,39107,37485,54039
6861,Sugar,5584,25743,23518,70223,40849,0,0,0,0,0,5222,25354,23299,67642,38610,362,389,219,2581,2239
6865,Molasses,85,498,327,270,377,0,0,0,0,0,81,475,290,268,202,4,23,37,2,175
6871,Coffee,13530,38650,38980,44785,93633,0,0,0,0,0,9805,35160,32090,35129,32366,3725,3490,6890,9656,61267
6872,Cocoa Beans,359,4495,4092,3785,5213,0,0,0,0,0,189,4410,3978,3643,4832,170,85,114,142,381
6885,Alcoholic Beverages,183671,441951,540509,477944,528856,0,0,0,0,0,96626,316708,428302,379135,358847,87045,125243,112207,98809,170009
6887,Groceries,20,0,28,0,17,0,0,0,0,0,0,0,0,0,0,20,0,28,0,17
6888,Water & Ice,72410,231798,282373,259663,305046,0,0,0,0,0,69182,226360,271389,249125,283756,3228,5438,10984,10538,21290
6889,Food Products NEC,646161,760091,722551,787097,800783,0,0,0,0,0,318124,441004,421406,490124,340161,328037,319087,301145,296973,460622
6891,Tobacco & Products,26612,12791,30582,28928,16112,0,0,0,0,0,6553,9843,25759,23441,14178,20059,2948,4823,5487,1934
6893,Cotton,626885,767246,668837,804465,491825,0,0,0,0,0,39922,49171,58609,52829,52625,586963,718075,610228,751636,439200
6894,Natural Fibers NEC,6100,12461,12490,14996,13169,0,0,0,0,0,6079,12356,12446,14518,10112,21,105,44,478,3057
6899,Farm Products NEC,37089,43795,49683,62790,130163,0,0,0,0,0,14217,18088,19379,28031,22259,22872,25707,30304,34759,107904
7110,Machinery (Not Elec),1990755,2239765,2148437,1731235,1743553,0,0,0,0,0,1812797,1979209,1890792,1489358,1420537,177958,260556,257645,241877,323016
7120,Electrical Machinery,3284484,3844561,3887723,3493997,2784468,0,0,0,0,0,3119286,3717777,3796634,3370436,2555025,165198,126784,91089,123561,229443
7210,Vehicles & Parts,1761313,1884245,2099737,1735342,1873263,0,0,0,0,0,1530609,1606377,1717180,1380231,1444419,230704,277868,382557,355111,428844
7220,Aircraft & Parts,17154,8870,8768,22140,29225,0,0,0,0,0,3452,4688,4783,10928,7843,13702,4182,3985,11212,21382
7230,Ships & Boats,3497,7447,7008,50719,213886,0,0,0,0,3546,2646,5744,5556,21645,178795,851,1703,1452,29074,31545
7300,Ordnance & Access.,13322,17643,12651,20256,11213,0,0,0,0,0,13223,17112,11961,14356,6858,99,531,690,5900,4355
7400,Manufac. Wood Prod.,277613,402999,309342,263811,303119,0,0,0,0,0,235364,351983,267061,232771,242956,42249,51016,42281,31040,60163
7500,Textile Products,2764776,2894675,3012012,2904761,2692530,0,0,0,0,0,2608031,2794318,2885897,2714631,2373986,156745,100357,126115,190130,318544
7600,Rubber & Plastic Pr.,2948426,3492379,2993241,2299960,2125675,0,0,0,0,0,2782681,3348399,2853443,2125920,1879616,165745,143980,139798,174040,246059
7800,Empty Containers,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
7900,Manufac. Prod. NEC,8314631,10057721,10447124,8299383,6696538,0,0,0,0,0,6378234,7796268,7994043,6496914,5615990,1936397,2261453,2453081,1802469,1080548
8900,Waste and Scrap NEC,20,0,18,103,661,0,0,0,0,0,12,0,18,97,125,8,0,0,6,536
9900,Unknown or NEC,196769,215208,343695,223829,1271802,0,0,0,0,0,92754,124458,216660,126091,671172,104015,90750,127035,97738,600630
